market_constraint,dayzer_constraint,pano_constraint
113 WATE 138 KV 113 WATE-11323 11323 2 | ACTUAL,113 WATE_138 KV_11323 2:ACTUAL,11323 138KV - 113 WATE 138KV (113 WATE 138 KV 11323 2) | BASE
BATTLEBO115 KV  1001A | L500.CARSON-ROGERSROAD.585,BATTLEBO_115 KV_1001A:L500.Carson-RogersRoad.585,BATTLEBO115 KV  1001A | L500.Carson-RogersRoad.585
THELMA 69 KV THE-THE1 | L345.SPURLOCK-NORTHCLARK,THELMA_69 KV_THE-THE1:L345.Spurlock-NorthClark,THELMA 69KV - THELMAEK 69KV (THELMA 69 KV THE-THE1) | L345.Spurlock-NorthClark
EDISON2-GRAVLPIT EDI-GRA    B  138 KV | L345.REYNOLDS-OLIVE.2,EDISON2_138 KV_EDI-OLI1:L345.Cook-Olive,EDISON2-GRAVLPIT EDI-GRA    B  138 KV | L345.Reynolds-Olive.2
EARLEYS -AHOSKIE  136A      A  115 KV | L115.PECAN-CAROLINA.1010,EARLEYS_115 KV_136A:L115.Pecan-Carolina.1010,EARLEYS 115KV - AHOSKIE 115KV (EARLEYS 115 KV 136A) | L115.Pecan-Carolina.1010
KEENMOUN138 KV  KEE-WHI | ACTUAL,,
NELSON-ELECTRIC JUNCTION (15502) L/O BYRON-CHERRY VALLEY (0621) | L345.BYRON-CHERRYVALLEY.0621,6 BYRON_345 KV_621:L345.Nelson-Electric Junction.15502,6 Byron-156 Cherry Valley 0621 l/o Nelson-Electric Junction | L345.Nelson-Electric Junction.15502
KEENEY  138 KV  13822 | ACTUAL,KEENEY_138 KV_13822:ACTUAL,KEENEY  138 KV  13822 | BASE
LAYMAN 138 KV LAYMAN-WOLFCREE 86 | L765.KAMMER-BELMONT-MOUNTAINEER+765/500.BELMONT.T5,BELMONT_138 KV_BEL-REN:L765.Kammer-Belmont-Mountaineer+765/500.Belmont.T5,LAYMAN-WOLFCREE 86          B  138 KV | L765.Kammer-Belmont-Mountaineer
COLONIAL 115 KV COL.PIPE-RRIDGE2 110512 | L230.GRACETON-BAGLEY-RAPHAELROAD.2305,COLONIAL_115 KV_COL-ROC2:L230.Graceton-Bagley-RaphaelRoad.2305,COLONIAL 115KV - GLENARM 115KV (COLONIAL 115 KV COL-GLE1) | L230.Graceton-Bagley-RaphaelRoad.2305
LOGTOWN 138 KV  LOG-NDEL | L765.FLATLICK-MARYSVILLE,LOGTOWN_138 KV_LOG-NDEL:L765.Flatlick-Marysville,LOGTOWN 138KV - NDELPHOS 138KV (LOGTOWN 138 KV LOG-NDEL) | L765.Flatlick-Marysville
CRES_DUQ_138KVCRE-MTN_1_LN | L138.CRESCENT-NORTH.Z-21,CRES DUQ_138 KV_CRE-MTN:L138.Crescent-North.Z-21,CRES DUQ 138KV - MT NEBO 138KV (CRES DUQ 138 KV CRE-MTN) | L138.Crescent-North.Z-21
116 GOOD-900 ELWO 11622     B  345 KV | L345.LOCKPORT-KENDALL.10805,116 GOOD_345 KV_11622:L345.Lockport-Kendall.10805,900 ELWO 345KV - 116 GOOD 345KV (116 GOOD 345 KV 11622) | L345.Lockport-Kendall.10805
42 ROUND138 KV 1607 2 | 345/138.16WAUKEGAN.TR83,42 ROUND_138 KV_1607 2:345/138.16Waukegan.TR83,42 ROUND 138KV - 1607 138KV (42 ROUND 138 KV 1607 2) | 345/138.16Waukegan.TR83
SHADEGAP115 KV SHA-THR | 230/115.LEWISTOWN.T3,SHADEGAP_115 KV_SHA-THR:230/115.Lewistown.T3,SHADEGAP115 KV  SHA-THR | 230/115/46.Lewistown.T2&T3
CHESWICK138 KV  CHE-SPR | ACTUAL,CHESWICK_138 KV_CHE-SPR:ACTUAL,CHESWICK138 KV  CHE-SPR | L138.Wilson-Mitchell.Z-11
ETOWANDA230 KV  ETO-SCO | L230.ETOWANDA-HILLSIDE.2002 [NYISO],ETOWANDA_230 KV_ETO-SCO:L230.ETowanda-Hillside.2002 [NYISO],ETOWANDA 230KV - SCOTCHHO 230KV (ETOWANDA 230 KV ETO-SCO) | L230.ETowanda-Hillside.2002 [NYISO]
SEWARD 115 KV SEWARD-TOWER51 H1H2 1097 | L230.HOMERCITY-QUEMAHONING-HOOVERSVILLE.2024,HILLCJCT_115 KV_HIL-HIL:L230.HomerCity-Quemahoning-Hooversville.2024,SEWARD 115KV - TOWER51 115KV (SEWARD 115 KV SEW-TOW) | L230.HomerCity-Quemahoning-Hooversville.2024
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX | L115.CARLISLEPIKE-GARDNERS.976,GARDNERS_115 KV_GAR-TEX:L115.CarlislePike-Gardners.1049,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX) | L115.CarlislePike-Gardners.976
HAYES_FE345 KV  TR1 | 345/138.BEAVER.T2,HAYES_FE_345 KV_TR1:345/138.Beaver.T2,HAYES_FE345 KV  TR1 | BASE
AEP-DOM CONTINGENCY 9 | L765.WYOMING-JACKSONSFERRY,AEP-DOM contingency 13 L765.Wyoming - Jacksons Ferry,AEP-DOM contingency 8 | L765.Broadford-JacksonsFerry + B138.Broadford.R
138 SILV 345 KV 138 SILVER 45TR83 CT | 345/138.SILVERLAKE.T82 G SPOG 2-38,138 SILV_345 KV_TR83CT-P:345/138.SilverLake.T82 G SPOG 2-38,138 SILV 345KV - 138 SILV 1KV (138 SILV 345 KV TR83CT-P) | 345/138.SilverLake.T82 G SPOG 2-38
CONASTON 500 KV CONASTON 500-2 XFORMER | ACTUAL,CONASTON_500 KV_500-2:ACTUAL,
COLU PL 230 KV COLU PL-MONTOUR | L230.MILTON-MONTOUR,ELIMSPOR_230 KV_ELI-SUN:L230.Montour-Milton-Sunbury,MONTOUR 230KV - COLU PL 230KV (COLU PL 230 KV COL-MON) | L230.Milton-Montour
BREMO4  115 KV  BRE-FRKU | L230.BREMO-FORKUNION.2193,BREMO4_115 KV_BRE-FRKU:L230.Bremo-ForkUnion.2193,BREMO4 115KV - FRKUNION 115KV (BREMO4 115 KV BRE-FRKU) | L230.Bremo-ForkUnion.2193
23 COLLI 345 KV 23 COLLINS 45TR92 CT | ACTUAL,23 COLLI_345 KV_2310:ACTUAL,23 COLLINS  45TR92 CT       H  345 KV | L765.Collins - Plano.2315
CHURCH 69 KV CHURCH-NEWMERED 6704-1 | L230.MILFORD-STEELE.23076,CHURCH_69 KV_CHU-NME:L230.Milford-Steele.23076,CHURCH-NEWMERED 6704-1      A  69 KV | L230.Milford-Steele.23076
MCCARTER230 KV  MCC-WOR | L230.CEDARGROVE-CEDARSUB-WILLIAM.F-2206,ESSEX_230 KV_ESS-MCC:L230.CedarGrove-CedarSub-William.F-2206,MCCARTER230 KV  MCC-WOR | L230.CedarGrove-CedarSub-William.F-2206
MIAMI   345 KV  BK-E | ACTUAL,MIAMI_345 KV_BK-E:ACTUAL,MIAMI 345KV - MIAMI 138KV (MIAMI 345 KV BK-E) | BASE
DUMONT2 765 KV DUMONT2-WILTON | ACTUAL,DUMONT2_765 KV_DUM-WIL1:ACTUAL,DUMONT2  1-P  XFMR          H  765 KV | L765.Dumont-Wilton Center.11215
BOXWOOD 138 KV BOXWOOD-CLIFFORD | L500.CLOVERDALE-LEXINGTON.566,CLIFFORD_138 KV_CLI-COL1:L500.Cloverdale-Lexington.566,BOXWOOD 138KV - CLIFFORD 138KV (BOXWOOD 138 KV BOX-CLI1) | L500.Cloverdale-Lexington.566
BEAVER 345 KV BEAVER TR1 XFORMER | L345.BEAVER-LAKEAVENUE.1,BEAVER_345 KV_TR1:L345.Beaver-LakeAvenue.1,BEAVER 345KV - BEAVER 138KV (BEAVER 345 KV TR1) | L345.Beaver-LakeAvenue.1
114_NORT_11413811412Z1_1_LN | ACTUAL,114 NORT     138-114 NORT     138,114_NORT_11413811412Z1_1_LN | BASE
HAVILAND69 KV   HAV-PAU | L138.EASTLIMA-HAVILAND,HAVILAND_69 KV_HAV-PAU:L138.EastLima-Haviland,HAVILAND 69KV - PAULDING 69KV (HAVILAND 69 KV HAV-PAU) | L138.EastLima-Haviland
KENNY   138 KV  KEN-ROB1 | L138.ROBERTS-WESTCAMPUS,KENNY_138 KV_KEN-ROB1:L138.Roberts-WestCampus,ROBERTS2 138KV - KENNY 138KV (KENNY 138 KV KEN-ROB1) | L138.Roberts-WestCampus
MALISZEW138 KV  MAL-POL1 | L138.MALISZEWSKI-GENOA,MALISZEW_138 KV_MAL-POL1:L138.Maliszewski-Genoa,MALISZEW 138KV - POLARIS 138KV (MALISZEW 138 KV MAL-POL1) | L138.Maliszewski-Genoa
KEENEY 230 KV KEENEY-STEELE 23009 | L230.CARTANZA-MILFORD.23033,KEENEY_230 KV_AT20:L230.Keeney-Steele.23009,KEENEY 230KV - STEELE 230KV (KEENEY 230 KV KEE-STE9) | L230.Cartanza-Milford.23033
112 WILTON CENTER TR94 345/765 KV XFMR L/O 112 WILTON CENTER - 23 COLLINS 765 KV | L765.WILTON-COLLINS.11216,112 WILT_765 KV_TR93CT-P:L765.Wilton - Collins.11216,Dumont 765/345 xfmr_2 (flo) Dumont-Wilton Center 765 | L765.Dumont-Wilton Center.11215
ETOWANDA 230 KV ETOWANDA 4 TX XFORMER | L230.EASTTOWANDA-CANYON-NMESHOPPEN + 230/115.NM.T4,ETOWANDA_230 KV_4 TX:L230.EastTowanda-Canyon-NMeshoppen + 230/115.NM.T4,ETOWANDA 230KV - ETOWANDA 115KV (ETOWANDA 230 KV 4 TX) | L230.EastTowanda-Canyon-NMeshoppen + 230/115.NM.T4
DOEX530 345 KV  DOE-PIE1 | ACTUAL,DOEX530_345 KV_DOE-PIE1:ACTUAL,PIERCE 345KV - DOEX530 345KV (DOEX530 345 KV DOE-PIE1) | L765.HangingRock-Jefferson
LANESVIL-INTERSTATE 138 KV L/O KINCAID-AUSTIN 2106 345 SPOG 1-3-A | L345.KINCAID-AUSTIN & 2102 & U2 (MULTIPHASE) 1-3-A,INTERSTA_138 KV_INT-LAN:L345.Kincaid-Austin 2102 U2 (Multiphase) 1-3-A,LANESVL 138KV - INTERSTA 138KV (INTERSTA 138 KV INT-LAN) | L345.Kincaid-Austin & 2102 & U2 (Multiphase) 1-3-A
NEWLONDON- KOKOMO HIGHLANDPARK 230KV L/O DUMONT-SORENSON 765KV | L765.DUMONT-SORENSON,SORENSON_765 KV_XF3:L765.Cook-Dumont,
CANTONCE 138 KV CANTONCE-CLOVEROE | ACTUAL,WCANTON_138 KV_WCA-DAL1:Cantonce - Cloveroe 138 kV line,CANTONCE 138KV - CLOVEROE 138KV (CANTONCE 138 KV CAN-CLO1) | BASE
MOREHEAD_69KVMOR-KUM1_1_LN | ACTUAL,MOREHEAD_69 KV_MOR-KUM1:ACTUAL,
BRIGHTON230 KV  BRI-MTZ2 | L500.BURCHESHILL-POSSUMPOINT.560,BRIGHTON_230 KV_BRI-MTZ2:L500.BurchesHill-PossumPoint.560,BRIGHTON 230KV - MTZION 230KV (BRIGHTON 230 KV BRI-MTZ2) | L500.BurchesHill-PossumPoint.560
16901   138 KV  16901 1 | ACTUAL,16901_138 KV_16901 1:ACTUAL,
CHARLERO 138 KV CHARLERO-GORDEN | L500.HATFIELD-RHODESLANE.517,CHARLERO_138 KV_CHA-GOR:L500.Hatfield-RhodesLane.517,CHARLERO 138KV - GORDON 138KV (CHARLERO 138 KV CHA-GOR) | L500.Hatfield-RhodesLane.517
TERMINAL345 KV  12 | L345.RED BANK-TERMINAL,TERMINAL_345 KV_12:L345.Red Bank-Terminal,SILVERGR345 KV  23 | L345.Red Bank-Terminal
135_ELMH_T5_345TR81CT-P_XF | ACTUAL,135 ELMH_345 KV_TR81CT-P:ACTUAL,
MALISZEW765 KV  1 | 765/345.VASSELL.T1,MALISZEW_765 KV_1:765/345.Vassell.T1,MALISZEW765 KV  1 | BASE
AEP-DOM CONTINGENCY 52 | L500.FRONTROYAL-WARRENCO.592 + FRONTROYAL.CC,AEP-DOM for l/o Front Royal-Warren County:L500.FrontRoyal-WarrenCo.592 + FrontRoyal.CC,AEP-DOM contingency 52 | L500.FrontRoyal-WarrenCo.592 + FrontRoyal.CC
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT | L500.KEYSTONE-SOUTHBEND.5001(513),ALLDAM6_138 KV_ALL-KIT:L500.Keystone-SouthBend.5001(513),ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT) | L500.Keystone-SouthBend.5001(513)
PRESTON-TANYARD 6716-5 B 69 KV | 230/138.PINEYGROVE.AT20,PRESTON_69 KV_PRE-TOD:230/138.PineyGrove.AT20+L230.PinyGrve-IndinR.23002,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN) | 230/138.PineyGrove.AT20
NORTHEAS230 KV  NOR-RAP5 | L500.BRIGHTON-CONASTONE.5011,NORTHEAS_230 KV_NOR-RAP5:L500.Brighton-Conastone,RAPHAERD 230KV - NORTHEAS 230KV (NORTHEAS 230 KV NOR-RAP5) | L500.Brighton-Conastone.5011
11 FISK 138 KV  TR72 12 | 11 FISK TR75 (SERIES DEV),11 FISK_138 KV_TR72 12:11 FISK TR75 (SERIES DEV),11 FISK 138KV - 11 FISK 12KV (11 FISK 138 KV TR72 12) | 11 FISK TR75 (SERIES DEV)
CONASTON 230 KV CONASTON-OTTCRKPL | L500.HUNTERSTOWN-CONASTONE.5013,OTTCRKPL_230 KV_OTT-YOR:L500.Hunterstown-Conastone.5013,OTTCRKPL 230KV - CONASTON 230KV (CONASTON 230 KV CNS-OTT) | L500.Hunterstown-Conastone.5013
BROADFO2 138 KV BROADFO2-SALTVILL 2 | L138.BROADFORD-SALTVILLE.1,BROADFO2_138 KV_BRO-SAL2:L138.Broadford-Saltville.1,BROADFO2-SALTVILL 2         A  138 KV | L138.Broadford-Saltville #1
BELLEFON138 KV  BEL-NPR1 | ACTUAL,BELLEFON_138 KV_BEL-NPR1:ACTUAL,BELLEFON138 KV  BEL-NPR1 | L138.NProctorville-EProctorville-Darrah
MOUN_UGI_69KVMOU-PLY2_1_LN | 230/69.MOUNTAIN.T3(UGI),MOUN UGI_69 KV_MOU-PLY2:230/69.Mountain.T3(UGI) w/ 23030 closed,PLYM UGI 69KV - MOUN UGI 69KV (MOUN UGI 69 KV MOU-PLY2) | 230/69.Mountain.T3(UGI)
MITTAL 2-ROXANA 138 KV L/O MARKTOWN-CHICAGO 138 KV | MARKTOWN - CHICAGO 138 KV,,Mittal 2-Roxana 138 kV l/o Marktown-Chicago 138 kV | Marktown - Chicago 138 kV
PLEASNTV TX3 XFORMER L 230 KV | L230.STONEWATER-BRAMBLETON.206B,,PLEASNTV 500KV - PLEASNTV 230KV (PLEASNTV 500 KV TX3) | L230.Stonewater-Brambleton.206B
HAVILAND_69KVHAV-PAU_1_LN | 138/69.EASTLIMA.T3,HAVILAND_69 KV_HAV-PAU:138/69.EastLima.T3,HAVILAND 69KV - PAULDING 69KV (HAVILAND 69 KV HAV-PAU) | 138/69.EastLima.T3
BED-BLA CONTINGENCY 33 | L500.CLOVERDALE-LEXINGTON.566,BED-BLA contingency 40 L500.Cloverdale-Lexington.566,APSOUTH contingency 47 | L500.Cloverdale-Lexington.566
LINE 138 KV BECKJORD-PIERC_DK 1889 | ACTUAL,MIER_138 KV_MIER:ACTUAL,
FRDRKSBG115 KV  FRE-TRIA | L500.LADYSMITH-POSSUM POINT.568,FRDRKSBG_115 KV_FRE-TRIA:L500.Ladysmith-Possum Point.568,FRDRKSBG 115KV - TRIAGLTP 115KV (FRDRKSBG 115 KV FRE-TRIA) | L500.Ladysmith-Possum Point.568
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL | L345.ASHTABULA-PERRY,ALLLUD4J_138 KV_ALJ-ALL:L345.Ashtabula-Perry,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL) | L345.Ashtabula-Perry
LENOX   115 KV  LEN-MAC | L230.ETOWANDA-HILLSIDE.2002 [NYISO],LENOX_115 KV_LEN-NME:L230.ETowanda-Hillside.2002 [NYISO],LENOX 115KV - MACNEW_T 115KV (LENOX 115 KV LEN-MAC) | L230.ETowanda-Hillside.2002 [NYISO]
MUSEVILL138 KV  MUS-SMIT | L765.CLOVERDALE-JOSHUAFALLS,MUSEVILL_138 KV_MUS-SMIT:L765.Cloverdale-JoshuaFalls,MUSEVILL 138KV - SMITHMOU 138KV (MUSEVILL 138 KV MUS-SMIT) | L765.Cloverdale-JoshuaFalls
SHERWOOD115 KV  91C | L230.BREMO-CARTERSVILLE-POWHATAN-MIDLOTHIAN.2027,SHERWOOD_115 KV_91C:L230.Bremo-Cartersville-Powhatan-Midlothian.2027,TRANSCO 115KV - SHERWOOD 115KV (SHERWOOD 115 KV 91C) | L230.Bremo-Cartersville-Powhatan-Midlothian.2027
HANOVER_69KVHAN-PLY_1_LN | ACTUAL,HANOVER_69 KV_HAN-PLY:ACTUAL,
CHAUNCYT138 KV  CHA-LOG1 | L138.BIGSANDY-INEZ,CHAUNCYT_138 KV_CHA-LOG1:L138.BigSandy-Inez,LOGAN 138KV - CHAUNCYT 138KV (CHAUNCYT 138 KV CHA-LOG1) | L138.BigSandy-Inez
CEDARCRE230 KV  AT20 | ACTUAL,,
JACK ME 230 KV JACK ME-TMI 1051 | L230.YORKANA-BRUNNERISLAND + YORKANA.T1,JACK ME_230 KV_JAC-TMI:L230.Yorkana-BrunnerIsland.1055,TMI 230KV - JACK ME 230KV (JACK ME 230 KV JAC-TMI) | L230.Yorkana-BrunnerIsland + Yorkana.T1
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT | L138.SPRINGDALE-ALL4JCT-ALL4TAP-ALL6-BRACKENRIDGE,ALLDAM6_138 KV_ALL-KIT:L138.Springdale-All4Jct-All4Tap-All6-Brackenridge,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT) | L138.Springdale-All4Jct-All4Tap-All6-Brackenridge
MUSKING2 138 KV MUSKING2-NMUSKING | ACTUAL,MUSKING2_138 KV_MUS-NMU1:ACTUAL,MUSKING2 138KV - NMUSKING 138KV (MUSKING2 138 KV MUS-NMU1) | BASE
KEYSTONE_T5_2304TX-S_XF | ACTUAL,DPL_S ACTUAL,
SALTVILL138 KV  SAL-TAZ1 | L765.BROADFORD-JACKSONSFERRY + B138.BROADFORD.RL3,SALTVILL_138 KV_SAL-TAZ1:L765.Broadford-JacksonsFerry + B138.Broadford.R,SALTVILL 138KV - TAZEWELL 138KV (SALTVILL 138 KV SAL-TAZ1) | L765.Broadford-JacksonsFerry + B138.Broadford.RL3
179 BLOO345 KV  TR84CT-P | L345.BURNHAM-DAVISCREEK.17704,179 BLOO_345 KV_TR84CT-P:L345.Burnham-DavisCreek.17704,179 BLOO 345KV - 179 BLOO 1KV (179 BLOO 345 KV TR84CT-P) | L345.Burnham-DavisCreek.17704
BLOOMSBU69 KV   BLO-COL2 | L230.HARWOOD-SUSQUEHANNA.1 + 230/69.HARWOOD.T5,WESCOSVI_500 KV_3:L230.Harwood-Susquehanna.1 + 230/69.Harwood.T5,BLOOMSBU69 KV   BLO-COL2 | L230.Harwood-Susquehanna.1
TODD    69 KV   TOD-VIEN | L69.EASTON-EASTONTAP-MUNI-LONGWOOD-WYEMILLS.6707,TODD_69 KV_TOD-VNL:L69.Easton-EastonTap-Muni-Longwood-WyeMills.6707,VIENNA 69KV - TODD 69KV (TODD 69 KV TOD-VIEN) | L69.Easton-EastonTap-Muni-Longwood-WyeMills.6707
SEWARD 230 KV 9 TX | ACTUAL,SEWARD_230 KV_9 TX:ACTUAL,SEWARD 230KV - SEWARD 115KV (SEWARD 230 KV 9 TX) | L230.HomerCity-Seward.2011
TAZEWELL 138/345KV TR2 L/O MAPLERIDGE - TAZEWELL 345KV | L345.MAPLERIDGE-TAZEWELL,TAZEWEL2_345 KV_TR2:L345.MapleRidge-Tazewell,TAZEWEL2 138KV - TAZEWEL2 345KV (TAZEWEL2 345 KV TR2) | L345.MapleRidge-Tazewell
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV | L500.PEACHBOTTOM-TMI.5007,NOTTINGH_230 KV_2-3:L500.PeachBottom-TMI.5007,NOTTINGHM 2-3 SER DEV       A  230 KV | L500.PeachBottom-TMI.5007
BREMO4_230KV2193A_1_LN | L500.MIDLOTHIAN-NORTHANNA.576,BREMO4_230 KV_2193A:L500.Midlothian-NorthAnna.576,FRKUNION 230KV - BREMO4 230KV (BREMO4 230 KV 2193A) | L500.Midlothian-NorthAnna.576
LAUSCHTO230 KV  LAU-SAK4 | L500.CONASTONE-PEACHBOTTOM.5012,LAUSCHTO_230 KV_LAU-SAK4:L500.Conastone-PeachBottom.5012,LAUSCHTO 230KV - SAKRON 230KV (LAUSCHTO 230 KV LAU-SAK4) | L500.Conastone-PeachBottom.5012
FOURRIVR 230 KV FOURRIVR-HANOVER4 2032B | L230.LADYSMITH-LADYSMITHCT.2089 + LADYSMTH.T1&T2,FOURRIVR_230 KV_2032B:L230.Ladysmith-LadysmithCT.2089 + LadySmth.T1&T2,FOURRIVR 230KV - HANOVER4 230KV (FOURRIVR 230 KV 2032B) | L230.Ladysmith-LadysmithCT.2089 + LadySmth.T1&T2
BENTONHA 345 KV BENTONHA . 1 XFORMER | ACTUAL,BENTONHA_345 KV_. 1:ACTUAL,
GARDNERS 115 KV GARDNERS-MOUN ME 974 | ACTUAL,MOUN ME_115 KV_MOU-PPG:Mountain-Gardners (974) 115 kV line,PPGI 115KV - MOUN ME 115KV (MOUN ME 115 KV MOU-PPG) | Mountain-Gardners (974) 115 kV line
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT | L500.BEDINGTON-BLACKOAK,ALLDAM6_138 KV_ALL-KIT:L500.Bedington-Black Oak,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT) | L500.Bedington-BlackOak
EASTON_T1_138AT-1_XF | 230/138.VIENNA.AT20,EASTON_138 KV_AT-1:230/138.Vienna.AT20,EASTON 138KV - EASTON 69KV (EASTON 138 KV AT-1) | 230/138.Vienna.AT20
02RDGVL 138 KV  02R-STRY | L765.MARYSVILLE-SORENSON,02RDGVL_138 KV_02R-STRY:L765.Marysville-Sorenson,02RDGVL 138KV - STRYKER 138KV (02RDGVL 138 KV 02R-STRY) | L765.Marysville-Sorenson
KLINE   138 KV  KLI-TWI1 | ACTUAL,KLINE_138 KV_KLI-TWI1:ACTUAL,TWINBRAN 138KV - KLINE 138KV (KLINE 138 KV KLI-TWI1) | BASE
IDYLWOO4 230 KV IDYLWOO4-CLARK4 202A | L230.PARAGONPARK-BEAUMEADE.2206,IDYLWOO4_230 KV_202A:L230.ParagonPark-Beaumeade.2206,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A) | L230.ParagonPark-Beaumeade.2206
COLLIER 345 KV COLLIER T1 XFORMER | 345/138.COLLIER.T2,COLLIER_345 KV_T1:345/138.Collier.T2,COLLIER  T2       XFORMER   H  345 KV | 345/138.Collier.T1
MAHANSLA 138 KV MAHANS LANE-TIDD | L345.TIDD-WYLIERIDGE.242,,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID) | L345.Tidd-WylieRidge.242
VIENNA 230 KV VIENNA AT20 TRANSFORMER | 230/138.PINEYGROVE.AT20,VIENNA_230 KV_AT20:230/138.PineyGrove.AT20,VIENNA 230KV - VIENNA 138KV (VIENNA 230 KV AT20) | 230/138.PineyGrove.AT20
MONROE-LALLENDORF 345 KV L/O LEMOYNE-MAJESTIC 345 KV | L345.LEMOYNE-MAJESTIC,LALLENDO_345 KV_LAL-MON:L345.Lemoyne-Majestic,MONROE 345KV - LALLENDO 345KV (LALLENDO 345 KV LAL-MON) | L345.Lemoyne-Majestic
SIEGFRIE 230 KV SIEGFRIE 5 XFORMER | 230/138.SIEGFRIED.4,SIEGFRIE_230 KV_5:230/138.Siegfried.4,SIEGFRIE 230KV - SIEGFRIE 138KV (SIEGFRIE 230 KV 5) | 230/138.Siegfried.4
08WLDER1138 KV  08W-PIE1 | L345.PIERCE-FOSTER,08WLDER1_138 KV_08W-PIE1:L345.Pierce-Foster,BECKJORD 138KV - 08WLDER1 138KV (08WLDER1 138 KV 08W-PIE1) | L345.Pierce-Foster
UTICAJCT 115 KV UTICAJCT-WAYNE WAE 1010 | ACTUAL,UTICAJCT_115 KV_UTI-WAY:ACTUAL,BURMA 138KV - BURMA 115KV (BURMA 138 KV T1) | L115.Eclipse-UticaJct-Wayne.1010
LOCKWOOD 138 KV LOCKWOOD-RICHLND TIE | L765.MARYSVILLE-SORENSON,LOCKWOOD_138 KV_LOC-SHI1:L765.Marysville-Sorenson,LOCKWOOD 138KV - RICHLND 138KV (LOCKWOOD 138 KV LOC-RIC1) | L765.Marysville-Sorenson
POSSUMP4 200192       CB       230 KV | L500.MORRISVILLE-SPOTSYLVANIA.594,POSSUMP4_230 KV_2078Z:L500.Morrisville-Spotsylvania.594,POSSUMP4 200192       CB       230 KV | L500.Morrisville-Spotsylvania.594
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV | L230.OXBOW-NMESHOPPEN (SCTNLZ),ETOWANDA_230 KV_ETO-HIL:L230.Oxbow-NMeshoppen (Sctnlz),ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL) | L230.Oxbow-NMeshoppen (Sctnlz)
155 NELS 345 KV 155 NELSON 45TR82 CT | L345.NELSON-CORDOVA.15503,155 NELS_345 KV_15504:L345.Nelson-Cordova.15503 SPOG 1-3-G,155 NELS 345KV - 155 NELS 1KV (155 NELS 345 KV TR82CT-P) | L345.Nelson-Cordova.15503
WEBSTER2138 KV  BUF-WEB1 | L345.PIERCE-FOSTER,WEBSTER2_138 KV_BUF-WEB1:L345.Pierce-Foster,
KILMER 230 KV KILMER-SAYREVIL LN1-SC1 | L230.SAYREVILLE-KILMER-LAKENELSON.W-1037,KILMER_230 KV_KIL-SAYI:L230.Sayreville-Kilmer-LakeNelson.W-1037,SAYREVIL 230KV - KILMER 230KV (KILMER 230 KV KIL-SAYI) | L230.Sayreville-Kilmer-LakeNelson.W-1037
LINE 230 KV CEDARSUB-CEDARGRO CED-CEDY | L500.HOPATCONG-RAMAPO.5018,CEDARSUB_230 KV_CED-CEDY:L500.Hopatcong-Ramapo.5018,CEDARSUB 230KV - CEDARGRO 230KV (CEDARSUB 230 KV CED-CEDY) | L500.Hopatcong-Ramapo.5018
NELSON-VIENNA 13707         A  138 KV | L230.COOLSPRINGS-MILFORD.23069,VIENNA_138 KV_13710:L230.CoolSprings-Milford.23069,VIENNA 138KV - NELSON 138KV (NELSON 138 KV NEL-VIE) | L230.CoolSprings-Milford.23069
BAIR 115 KV BAIR-JACK ME 969-2 | L230.YORKANA-BRUNNERISLAND + YORKANA.T1,BAIR_115 KV_BAI-JAC:L230.Yorkana-BrunnerIsland + Yorkana.T1,JACK ME 115KV - BAIR 115KV (BAIR 115 KV BAI-JAC) | L230.Yorkana-BrunnerIsland + Yorkana.T1
GARDNERS_115KVGAR-TEX_1_LN | L115.ROUNDTOP-NEWBERRY-CLY (SCTNLZ F),GARDNERS_115 KV_GAR-TEX:L115.RoundTop-Newberry-Cly,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX) | L115.RoundTop-Newberry-Cly (Sctnlz F)
BENTMOUN138 KV  BEN-CLE1 | L345.CLOVERDALE-MATTFUNK,BENTMOUN_138 KV_BEN-CLE1:L345.Cloverdale-MattFunk,BENTMOUN 138KV - CLEARBRO 138KV (BENTMOUN 138 KV BEN-CLE1) | L345.Cloverdale-MattFunk
